Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua DQ-B c2-2 2	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	2	Star:0	2026-07-26T06:11:22Z	Detailed		High metal content body	No	163.498	Yes	None	0.49331		4907.72	0.8324	756.77	483.62				4191304.5	41.364959	hot thick carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=98.764687%; SulphurDioxide=1.235268%	None	0	66.8217	33.1784			0.327641	0.000029	0.0027	189.2723	84.047584	15.8852	130.5798	84.051679	-12.9123	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 3	N/A	3	Nyeakua DQ-B c2-2	645821995026	Planet	3	Star:0	2026-07-26T06:11:45Z	Detailed		Rocky ice body	No	213.429	Yes	None	0.364472		4884.8	0.6208	2013.88	1740.73				9343328256	92211.480444	hot thick water atmosphere	Water	Water=99.992577%	None	22.2178	51.9759	25.8064			0.427708	0.000003	0.0189	142.6445	125.357143	-23.0107	172.8885	125.363259	1.1949	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 4	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	4	Star:0	2026-07-26T06:11:03Z	Detailed		Rocky ice body	No	300.046	No	None	0.389771		4987.47	0.6369	303.3	30.15				5685250	56.109055	thick argon rich atmosphere	ArgonRich	Nitrogen=90.617973%; Argon=9.296819%; Water=0.085187%	None	22.2178	51.9759	25.8064			0.601306	0.000268	0.0402	134.7965	208.963488	-171.6158	84.2835	1.024408	-13.9815	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 5	N/A	2	Nyeakua DQ-B c2-2	645821995026	Planet	5	Star:0	2026-07-26T06:11:19Z	Detailed		Rocky ice body	No	405.509	No	None	0.540812		5516.91	0.7222	226.25	-46.9				68830112	679.30039	thick argon rich atmosphere	ArgonRich	Nitrogen=99.012466%; Argon=0.987452%	None	22.2178	51.9759	25.8064			0.812633	0.000007	0.266	153.8122	328.298831	36.9361	106.0607	1.85399	-11.9647	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 6	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	6	Star:0	2026-07-26T06:10:59Z	Detailed		Icy body	No	515.636	No	None	1.063591		7927.38	0.6879	204.87	-68.28				63176980	623.508315	thick argon rich atmosphere	ArgonRich	Nitrogen=96.974106%; Argon=3.010561%	minor carbon dioxide geysers volcanism	68.5328	21.0272	10.4399			1.035082	0.001693	0.0354	134.9348	471.942948	110.6959	359.2076	1.190183	-2.6883	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 7	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	7	Star:0	2026-07-26T06:11:49Z	Detailed		High metal content body	No	647.27	No	None	1.313986		6586.51	1.231	377.09	103.94				2086255.25	20.589738	thick methane rich atmosphere	MethaneRich	Ammonia=33.107067%; Methane=33.107067%; Nitrogen=33.107067%	rocky magma volcanism	0	66.6425	33.3575			1.296078	0.001019	0.0012	174.8052	661.26318	-35.8225	142.195	1.285357	-8.9254	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 8	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	8	Star:0	2026-07-26T06:11:09Z	Detailed		Icy body	No	935.2	No	None	1.794759		9254.64	0.8517	522.35	249.2				688150592	6791.518302	hot thick ammonia rich atmosphere	AmmoniaRich	Nitrogen=42.356415%; Ammonia=37.949291%; Methane=19.173956%	major water geysers volcanism	68.5094	21.043	10.4476			1.880062	0.003335	0.0022	283.7667	1155.276252	-106.8852	341.1587	1.943437	29.7891	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 9	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	9	Star:0	2026-07-26T06:11:06Z	Detailed		Icy body	No	1204.498	No	None	2.831723		10553.87	1.0333	128.47	-144.68				62390132	615.742729	thick nitrogen atmosphere	Nitrogen	Nitrogen=99.910011%; Argon=0.087898%	major water geysers volcanism	68.5094	21.043	10.4476			2.41668	0.00134	-0.0717	275.9571	1683.667026	-14.8939	27.1982	0.526189	-12.4348	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2 10	N/A	1	Nyeakua DQ-B c2-2	645821995026	Planet	10	Star:0	2026-07-26T06:10:56Z	Detailed		Icy body	No	1602.03	No	None	2.820194		10541.65	1.0315	451.68	178.53				1286973056	12701.436526	thick methane rich atmosphere	MethaneRich	Ammonia=33.218643%; Methane=33.218643%; Nitrogen=33.218643%	major water geysers volcanism	68.5094	21.043	10.4476			3.211139	0.000234	0.345	86.4596	2578.790679	-144.3676	23.7608	0.680756	-10.9086	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1	N/A	1	Nyeakua DQ-B c2-1	370944088082	Star	0		2026-07-26T06:13:48Z	AutoScan	K		N/A	0				0.597656	554502.46		4175	3901.85	6.733688	6016	Va											Nyeakua DQ-B c2-1 A Belt [eRingClass_Rocky, MassMT=1.0909E+14, InnerRad=9.1493E+8, OuterRad=2.1357E+9]								5.054263	0	Yes	No	N/A	N/A										
Nyeakua DQ-B c2-1 1	N/A	3	Nyeakua DQ-B c2-1	370944088082	Planet	10	Star:0	2026-07-26T06:15:30Z	Detailed		Sudarsky class II gas giant	No	954.068	No	None	444.277527		74618.01	3.2431	175.28	-97.87				0	0	None	None	Hydrogen=73.954346%; Helium=26.045652%	None						1.912496	0.001151	-1.0537	335.4887	1246.562297	161.0431	75.3433	1.734648	12.9756	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 1 a	2	3	Nyeakua DQ-B c2-1	370944088082	Planet	11	Planet:10 > Star:0	2026-07-26T06:15:33Z	Detailed		Icy body	Yes	953.431	Yes	None	0.001546		1020.45	0.0603	118.05	-155.1				0	0	None	None		major water geysers volcanism	82.87	15.6068	1.5232	sulphur=26.560085%; carbon=22.334280%; phosphorus=14.298791%; iron=11.847561%; nickel=8.960999%; chromium=5.328241%; manganese=4.892921%; germanium=3.440167%; cadmium=0.920017%; tin=0.709291%; yttrium=0.707641%		0.002705	0.000003	0.0262	285.5897	1.406513	-82.8857	36.7509	1.406526	0.9187	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 1 b	1	1	Nyeakua DQ-B c2-1	370944088082	Planet	12	Planet:10 > Star:0	2026-07-26T06:15:36Z	Detailed		Icy body	Yes	950.335	Yes	None	0.00083		830.59	0.0489	112.1	-161.05				0	0	None	None		None	82.87	15.6068	1.5232	sulphur=26.919493%; carbon=22.636505%; phosphorus=14.492281%; iron=12.007881%; nickel=9.082258%; chromium=5.400342%; selenium=4.213128%; zinc=3.263293%; ruthenium=0.741563%; tin=0.718889%; mercury=0.524364%		0.00763	0.005161	0.0263	58.3485	6.664592	-113.3346	201.7991	6.664655	13.2307	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 1 c	1	1	Nyeakua DQ-B c2-1	370944088082	Planet	13	Planet:10 > Star:0	2026-07-26T06:15:38Z	Detailed		Icy body	Yes	952.405	Yes	None	0.000853		837.94	0.0493	110.86	-162.29				0	0	None	None		None	82.87	15.6068	1.5232	sulphur=28.622787%; carbon=24.068800%; phosphorus=15.409260%; iron=12.767664%; nickel=9.656925%; germanium=3.707337%; arsenic=1.657971%; zirconium=1.482589%; cadmium=0.991467%; niobium=0.872602%; yttrium=0.762597%		0.010356	0.00067	-0.0887	254.2328	10.538136	-59.3966	160.5503	10.538234	0.5209	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 1 d	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	15	Null:14 > Planet:10 > Star:0	2026-07-26T06:15:42Z	Detailed		Icy body	Yes	956.542	Yes	None	0.001226		943.94	0.0559	110.18	-162.97				0	0	None	None		carbon dioxide geysers volcanism	82.415	16.0034	1.5816	sulphur=26.600418%; carbon=22.368196%; phosphorus=14.320503%; iron=11.977716%; nickel=9.059443%; chromium=5.386777%; manganese=4.946675%; vanadium=2.941311%; tellurium=0.898962%; molybdenum=0.782138%; tin=0.717868%		0.000021	0.164846	2.9277	90.7116	1.895491	12.437	115.282	3.051588	-48.2678	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 1 e	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	16	Null:14 > Planet:10 > Star:0	2026-07-26T06:15:41Z	Detailed		Icy body	Yes	956.566	Yes	None	0.00077		810.13	0.0477	110.18	-162.97				0	0	None	None		major water geysers volcanism	82.87	15.6068	1.5232	sulphur=26.296986%; carbon=22.113041%; phosphorus=14.157147%; iron=11.730200%; nickel=8.872231%; chromium=5.275461%; manganese=4.844452%; selenium=4.115700%; cadmium=0.910903%; tellurium=0.882184%; niobium=0.801697%		0.000033	0.164846	2.9277	270.7116	1.895491	12.437	115.2788	2.418667	19.6507	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 1 f	1	1	Nyeakua DQ-B c2-1	370944088082	Planet	17	Planet:10 > Star:0	2026-07-26T06:15:44Z	Detailed		Icy body	Yes	961.037	Yes	None	0.000574		735.14	0.0432	108.87	-164.28				0	0	None	None		None	82.87	15.6068	1.5232	sulphur=27.145021%; carbon=22.826151%; phosphorus=14.613694%; iron=12.108480%; nickel=9.158347%; chromium=5.445586%; manganese=5.000679%; zirconium=1.406044%; niobium=0.827550%; antimony=0.743529%; tin=0.724912%		0.019157	0.000306	0.0343	45.3883	26.513141	145.864	224.4785	26.513385	20.6702	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2	N/A	1	Nyeakua DQ-B c2-1	370944088082	Planet	24	Star:0	2026-07-26T06:15:53Z	Detailed		Gas giant with water based life	No	1256.995	No	None	439.53775		74560.68	3.2134	159.64	-113.51				0	0	None	None	Hydrogen=73.907387%; Helium=26.029116%; Oxygen=0.063495%	None					Nyeakua DQ-B c2-1 2 A Ring [eRingClass_Icy, MassMT=8.2617E+9, InnerRad=1.3797E+8, OuterRad=2.6469E+8]	2.524186	0.002704	0.0055	250.1416	1890.144552	-59.4943	40.5115	2.085158	108.1576	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 a	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	26	Planet:24 > Star:0	2026-07-26T06:15:56Z	Detailed		Icy body	Yes	1258.028	Yes	None	0.000253		559.13	0.0328	102.38	-170.77				0	0	None	None		major water geysers volcanism	82.4499	15.9896	1.5606	sulphur=26.616690%; carbon=22.381880%; phosphorus=14.329265%; iron=11.956908%; nickel=9.043703%; chromium=5.377418%; manganese=4.938080%; zinc=3.249440%; antimony=0.734221%; tin=0.715837%; tungsten=0.656554%		0.003685	0.000031	-0.0089	78.7582	2.248509	0.12	19.5703	2.248528	6.0247	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 2 b	1	2	Nyeakua DQ-B c2-1	370944088082	Planet	27	Planet:24 > Star:0	2026-07-26T06:16:03Z	Detailed		Icy body	Yes	1255.11	Yes	None	0.000316		602.61	0.0354	100.04	-173.11				0	0	None	None		None	82.4499	15.9896	1.5606	sulphur=27.102331%; carbon=22.790251%; phosphorus=14.590712%; iron=12.175069%; nickel=9.208712%; chromium=5.475532%; manganese=5.028179%; zirconium=1.413776%; molybdenum=0.795025%; ruthenium=0.751888%; tungsten=0.668534%		0.00559	0.000021	0.4724	307.1058	4.201808	151.8451	294.282	4.201844	22.8236	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 c	1	1	Nyeakua DQ-B c2-1	370944088082	Planet	28	Planet:24 > Star:0	2026-07-26T06:16:04Z	Detailed		Icy body	Yes	1254.351	Yes	None	0.000271		572.19	0.0336	98.85	-174.3				0	0	None	None		None	82.4499	15.9896	1.5606	sulphur=27.065948%; carbon=22.759659%; phosphorus=14.571126%; iron=12.158726%; nickel=9.196350%; chromium=5.468182%; germanium=3.530520%; zinc=3.304287%; antimony=0.746614%; tungsten=0.667636%; mercury=0.530951%		0.007188	0.000342	0.2024	39.4858	6.1258	66.0431	289.9887	6.125854	6.9541	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 d	1	3	Nyeakua DQ-B c2-1	370944088082	Planet	29	Planet:24 > Star:0	2026-07-26T06:16:00Z	Detailed		Icy body	Yes	1259.25	Yes	None	0.000934		861.61	0.0511	97.74	-175.41				0	0	None	None		None	81.936	16.4374	1.6266	sulphur=26.596870%; carbon=22.365211%; phosphorus=14.318593%; iron=12.072922%; nickel=9.131453%; chromium=5.429594%; manganese=4.985993%; zinc=3.280968%; tin=0.723656%; tungsten=0.662925%; technetium=0.431800%		0.009381	0.000824	-0.0498	122.0544	9.134137	-32.1169	127.1308	9.134216	34.8217	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 e	1	2	Nyeakua DQ-B c2-1	370944088082	Planet	30	Planet:24 > Star:0	2026-07-26T06:16:06Z	Detailed		Icy body	Yes	1253.734	Yes	None	0.000623		754.59	0.0445	96.42	-176.73				0	0	None	None		None	82.4499	15.9896	1.5606	sulphur=26.753744%; carbon=22.497126%; phosphorus=14.403049%; iron=12.018475%; nickel=9.090270%; chromium=5.405107%; manganese=4.963507%; vanadium=2.951319%; niobium=0.821399%; molybdenum=0.784799%; polonium=0.311216%		0.013628	0.000002	0.8174	220.3825	15.993468	-29.8114	47.594	15.993606	-14.5485	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 f	1	2	Nyeakua DQ-B c2-1	370944088082	Planet	31	Planet:24 > Star:0	2026-07-26T06:16:01Z	Detailed		Icy body	Yes	1261.98	Yes	None	0.001392		984.73	0.0584	94.77	-178.38				0	0	None	None		None	82.4499	15.9896	1.5606	sulphur=27.977934%; carbon=23.526545%; phosphorus=15.062099%; iron=12.568413%; nickel=9.506221%; selenium=4.378784%; vanadium=3.086365%; arsenic=1.632097%; molybdenum=0.820710%; yttrium=0.750696%; tungsten=0.690132%		0.024527	0.000046	-1.0401	88.7361	38.616385	22.2601	155.9435	38.616717	3.9574	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 2 g	1	2	Nyeakua DQ-B c2-1	370944088082	Planet	32	Planet:24 > Star:0	2026-07-26T06:16:07Z	Detailed		Icy body	Yes	1256.07	Yes	None	0.00113		918.86	0.0544	94.04	-179.11				0	0	None	None		None	82.4499	15.9896	1.5606	sulphur=27.602560%; carbon=23.210892%; phosphorus=14.860012%; iron=12.399784%; nickel=9.378676%; manganese=5.120984%; germanium=3.600515%; arsenic=1.610199%; tellurium=0.932541%; tin=0.742351%; mercury=0.541478%		0.034015	0.000027	1.4314	306.8531	63.067211	-110.8391	87.2395	63.067757	24.7452	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 3	N/A	0	Nyeakua DQ-B c2-1	370944088082	Planet	36	Null:35 > Star:0	2026-07-26T06:15:06Z	Detailed		Sudarsky class I gas giant	No	1774.837	No	None	14.61278		32482.9	0.5629	84.78	-188.37				0	0	None	None	Hydrogen=73.954346%; Helium=26.045652%	None					Nyeakua DQ-B c2-1 3 A Ring [eRingClass_MetalRich, MassMT=1.0861E+10, InnerRad=6.4131E+7, OuterRad=6.6773E+7]; Nyeakua DQ-B c2-1 3 B Ring [eRingClass_Icy, MassMT=8.7454E+10, InnerRad=6.6873E+7, OuterRad=8.5111E+7]	0.008038	0.136429	-4.7424	16.1939	404.864322	69.2467	276.8914	0.684295	12.9649	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-1 3 a	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	39	Planet:36 > Null:35 > Star:0	2026-07-26T06:15:11Z	Detailed		Icy body	Yes	1774.384	No	None	0.000598		743.62	0.0439	76.07	-197.08				0	0	None	None		major water geysers volcanism	82.1605	16.2418	1.5978	sulphur=26.679560%; carbon=22.434746%; phosphorus=14.363109%; iron=12.056048%; nickel=9.118690%; chromium=5.422005%; selenium=4.175577%; germanium=3.496201%; molybdenum=0.787253%; ruthenium=0.744538%; tin=0.722272%		0.001	0.000439	0.4526	203.5118	1.74346	-119.1128	105.646	-1.743529	-101.1759	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 3 b	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	40	Planet:36 > Null:35 > Star:0	2026-07-26T06:15:10Z	Detailed		Icy body	Yes	1774.195	Yes	None	0.00024		549.52	0.0323	76.04	-197.11				0	0	None	None		carbon dioxide geysers volcanism	82.4499	15.9896	1.5606	sulphur=27.837185%; carbon=23.408190%; phosphorus=14.986326%; iron=12.505182%; nickel=9.458397%; selenium=4.356755%; zinc=3.398441%; arsenic=1.623886%; cadmium=0.971084%; antimony=0.767888%; tungsten=0.686660%		0.001338	0.0008	0.1939	68.3599	2.697765	163.2012	262.3045	2.69787	-9.8281	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 3 c	2	1	Nyeakua DQ-B c2-1	370944088082	Planet	41	Planet:36 > Null:35 > Star:0	2026-07-26T06:15:13Z	Detailed		Icy body	Yes	1775.452	Yes	None	0.000153		473.61	0.0278	76.01	-197.14				0	0	None	None		minor ammonia magma volcanism	82.4499	15.9896	1.5606	sulphur=26.790459%; carbon=22.527998%; phosphorus=14.422813%; iron=12.034965%; nickel=9.102743%; chromium=5.412523%; selenium=4.192933%; vanadium=2.955368%; cadmium=0.934570%; tellurium=0.905104%; tin=0.720510%		0.00187	0.000158	-0.3017	311.7291	4.458852	-108.023	117.2071	4.459027	19.2901	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-1 4	N/A	2	Nyeakua DQ-B c2-1	370944088082	Planet	42	Null:35 > Star:0	2026-07-26T06:14:33Z	Detailed		Icy body	No	1758.397	No	None	3.601084		11513.23	1.1041	76.86	-196.29				20407.846	0.20141	neon rich atmosphere	NeonRich	Nitrogen=93.079773%; Neon=6.914797%	major water geysers volcanism	67.583	20.9715	10.2348		Nyeakua DQ-B c2-1 4 A Ring [eRingClass_Rocky, MassMT=3.8567E+9, InnerRad=2.1953E+7, OuterRad=2.4657E+7]; Nyeakua DQ-B c2-1 4 B Ring [eRingClass_Icy, MassMT=6.8532E+10, InnerRad=2.4757E+7, OuterRad=5.3361E+7]	0.03262	0.136429	-4.7424	196.1939	404.864322	69.2467	276.891	0.868476	-11.9696	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-0 A	N/A	4	Nyeakua DQ-B c2-0	96066181138	Star	1	Null:0	2026-07-26T06:19:37Z	AutoScan	K		N/A	0				0.648438	481743.23		4406	4132.85	6.805252	5904	Vab												40.538674	0.081277	-25.222	282.7418	410432.66516	57.1452	358.6077	3.194281	0	No	No	N/A	N/A										
Nyeakua DQ-B c2-0 B	N/A	3	Nyeakua DQ-B c2-0	96066181138	Star	2	Null:0	2026-07-26T06:19:37Z	AutoScan	M		N/A	50066.861				0.382813	405099.87		3167	2893.85	8.615921	5904	Va												68.667552	0.081277	-25.222	102.7418	410432.66516	57.1452	358.6077	2.447686	0	No	No	N/A	N/A										
Nyeakua CQ-B c2-5	N/A	1	Nyeakua CQ-B c2-5	1470388606994	Star	0		2026-07-26T06:21:24Z	AutoScan	K		N/A	0				0.597656	543401.79		4519	4245.85	6.433685	1094	Va											Nyeakua CQ-B c2-5 A Belt [eRingClass_MetalRich, MassMT=9.8734E+13, InnerRad=9.9432E+8, OuterRad=2.0326E+9]								3.320442	0	Yes	No	N/A	N/A										
Nyeakua CQ-B c2-5 1	N/A	2	Nyeakua CQ-B c2-5	1470388606994	Planet	6	Null:5 > Star:0	2026-07-26T06:22:20Z	Detailed		Sudarsky class II gas giant	No	1036.924	No	None	669.182617		76671.32	4.6267	219.37	-53.78				0	0	None	None	Hydrogen=74.255844%; Helium=25.744152%	None					Nyeakua CQ-B c2-5 1 A Ring [eRingClass_MetalRich, MassMT=2.0735E+11, InnerRad=1.2651E+8, OuterRad=1.5312E+8]; Nyeakua CQ-B c2-5 1 B Ring [eRingClass_Rocky, MassMT=2.2525E+12, InnerRad=1.5322E+8, OuterRad=3.176E+8]	0.002351	0.195865	4.5772	114.0243	139.08332	-120.5908	214.9985	1.948356	0.1091	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 1 a	N/A	1	Nyeakua CQ-B c2-5	1470388606994	Planet	9	Planet:6 > Null:5 > Star:0	2026-07-26T06:22:05Z	Detailed		Rocky body	No	1035.533	Yes	None	0.002008		884.97	0.1042	265.16	-7.99				210499.453	2.077468	carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=95.848389%; Ammonia=3.193121%; SulphurDioxide=0.958484%	minor silicate vapour geysers volcanism	0	90.4857	9.5143			0.003323	0.011266	-2.2386	46.3427	1.560819	47.4793	349.706	1.500529	21.8179	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 1 b	N/A	2	Nyeakua CQ-B c2-5	1470388606994	Planet	10	Planet:6 > Null:5 > Star:0	2026-07-26T06:22:04Z	Detailed		Rocky body	No	1037.534	Yes	None	0.000796		652.49	0.076	240.41	-32.74				109076.906	1.076505	carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=98.974388%; SulphurDioxide=0.989744%	None	0	91.0574	8.9426			0.004422	0.003626	-0.285	203.5983	2.395753	4.8353	326.7681	2.328462	-17.1473	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 2	N/A	2	Nyeakua CQ-B c2-5	1470388606994	Planet	11	Null:5 > Star:0	2026-07-26T06:21:55Z	Detailed		Gas giant with ammonia based life	No	1073.76	Yes	None	24.298595		41504.14	0.5733	124.6	-148.55				0	0	None	None	Hydrogen=74.221626%; Helium=25.732294%	None					Nyeakua CQ-B c2-5 2 A Ring [eRingClass_MetalRich, MassMT=1.7127E+10, InnerRad=7.1002E+7, OuterRad=7.4796E+7]; Nyeakua CQ-B c2-5 2 B Ring [eRingClass_Icy, MassMT=1.4161E+11, InnerRad=7.4896E+7, OuterRad=1.0083E+8]	0.064741	0.195865	4.5772	294.0243	139.08332	-120.5908	214.9977	141.585969	-4.1576	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 2 a	2	1	Nyeakua CQ-B c2-5	1470388606994	Planet	14	Planet:11 > Null:5 > Star:0	2026-07-26T06:22:11Z	Detailed		Icy body	Yes	1073.851	No	None	0.000557		727.31	0.0428	111.63	-161.52				0	0	None	None		major water geysers volcanism	82.582	15.8327	1.5853	sulphur=27.596123%; carbon=23.205481%; phosphorus=14.856545%; iron=12.404024%; nickel=9.381885%; manganese=5.122736%; germanium=3.567867%; arsenic=1.595599%; niobium=0.847749%; yttrium=0.740878%; tungsten=0.681106%		0.001	0.012452	2.1886	99.5372	1.352063	-120.7881	121.5813	-1.352088	146.0224	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua CQ-B c2-5 3	4	2	Nyeakua CQ-B c2-5	1470388606994	Planet	15	Star:0	2026-07-26T06:21:46Z	Detailed		Icy body	Yes	1383.794	No	None	4.929499		13599.03	1.0834	101.84	-171.31				0	0	None	None		None	64.0389	19.7588	9.7041	sulphur=22.249014%; carbon=18.709118%; iron=15.385842%; phosphorus=11.977899%; nickel=11.637206%; chromium=6.919524%; manganese=6.354196%; zinc=4.181295%; tin=0.995047%; yttrium=0.918978%; mercury=0.671874%	Nyeakua CQ-B c2-5 3 A Ring [eRingClass_Rocky, MassMT=4.6402E+9, InnerRad=2.9947E+7, OuterRad=3.3892E+7]; Nyeakua CQ-B c2-5 3 B Ring [eRingClass_Icy, MassMT=5.0422E+10, InnerRad=3.3992E+7, OuterRad=6.2336E+7]	2.782645	0.004415	-0.6395	27.619	2187.923977	96.9997	38.9122	1.699886	10.5449	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 3 a	1	2	Nyeakua CQ-B c2-5	1470388606994	Planet	18	Planet:15 > Star:0	2026-07-26T06:21:49Z	Detailed		Icy body	Yes	1387.394	No	None	0.00018		500.02	0.0293	91.8	-181.35				0	0	None	None		None	82.5252	15.9121	1.5627	sulphur=26.481956%; carbon=22.268583%; phosphorus=14.256729%; iron=11.881935%; nickel=8.986999%; chromium=5.343701%; manganese=4.907118%; germanium=3.428512%; cadmium=0.922686%; niobium=0.812067%; yttrium=0.709694%		0.008103	0.003187	2.0431	302.8177	69.238068	-84.9759	229.8619	1.769733	-19.0903	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 4	N/A	2	Nyeakua CQ-B c2-5	1470388606994	Planet	20	Star:0	2026-07-26T06:22:47Z	Detailed		Sudarsky class I gas giant	No	1751.728	No	None	170.795624		65235.43	1.6312	108.83	-164.32				0	0	None	None	Hydrogen=74.255844%; Helium=25.744162%	None					Nyeakua CQ-B c2-5 4 A Ring [eRingClass_Rocky, MassMT=1.1072E+11, InnerRad=1.1249E+8, OuterRad=1.2762E+8]; Nyeakua CQ-B c2-5 4 B Ring [eRingClass_Icy, MassMT=6.4103E+11, InnerRad=1.2772E+8, OuterRad=1.9315E+8]	3.507516	0.000835	-1.5819	174.2096	3096.31256	-153.1616	182.1248	0.468506	-178.1309	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 4 a	3	1	Nyeakua CQ-B c2-5	1470388606994	Planet	23	Planet:20 > Star:0	2026-07-26T06:22:51Z	Detailed		Icy body	Yes	1752.477	Yes	None	0.011763		1987.17	0.1211	87.11	-186.04				0	0	None	None		major water geysers volcanism	81.9844	16.3828	1.6328	sulphur=27.382744%; carbon=23.026054%; phosphorus=14.741674%; iron=12.422005%; nickel=9.395484%; chromium=5.586588%; germanium=3.575730%; zirconium=1.442451%; niobium=0.848978%; molybdenum=0.811150%; ruthenium=0.767138%		0.001619	0.000018	-0.0009	208.5992	1.050288	-155.0348	209.3815	1.050533	69.7221	No	No	No	No				0	2	0	0	0	Geological:2	
